,dataid,protein_k,rna_k,top_ratio,training_score,tune_param,scores,cv
20,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [7], ""n_estimators"": [500], ""num_iterations"": [1500]}","{""acc"": 0.8225446428571429, ""auc"": 0.8224851628720493, ""fpr"": [0.0, 0.17763157894736842, 1.0], ""tpr"": [0.0, 0.8227272727272728, 1.0], ""mcc"": 0.6450330067161991, ""tnr"": 0.8223684210526315, ""ppv"": 0.8171557562076749, ""f_score"": 0.8199320498301246, ""ap"": 0.759349898126704, ""brier"": 0.17745535714285715, ""sensitivity"": 0.8227272727272728}",0
21,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [7], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8214285714285714, ""auc"": 0.8213666354376383, ""fpr"": [0.0, 0.17763157894736842, 1.0], ""tpr"": [0.0, 0.8204545454545454, 1.0], ""mcc"": 0.6427781171266694, ""tnr"": 0.8223684210526315, ""ppv"": 0.8167420814479638, ""f_score"": 0.8185941043083899, ""ap"": 0.7582693960451313, ""brier"": 0.17857142857142858, ""sensitivity"": 0.8204545454545454}",0
22,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [9], ""n_estimators"": [500], ""num_iterations"": [1500]}","{""acc"": 0.8314732142857143, ""auc"": 0.8314148465958073, ""fpr"": [0.0, 0.16885964912280702, 1.0], ""tpr"": [0.0, 0.8318181818181818, 1.0], ""mcc"": 0.6628941098133533, ""tnr"": 0.831140350877193, ""ppv"": 0.8261851015801355, ""f_score"": 0.8289920724801814, ""ap"": 0.7698250747559439, ""brier"": 0.16852678571428573, ""sensitivity"": 0.8318181818181818}",0
23,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [9], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8303571428571429, ""auc"": 0.8303037550825162, ""fpr"": [0.0, 0.17105263157894737, 1.0], ""tpr"": [0.0, 0.8318181818181818, 1.0], ""mcc"": 0.6606865254766199, ""tnr"": 0.8289473684210527, ""ppv"": 0.8243243243243243, ""f_score"": 0.8280542986425339, ""ap"": 0.7682772464022464, ""brier"": 0.16964285714285715, ""sensitivity"": 0.8318181818181818}",0
24,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.2], ""max_bin"": [256], ""max_depth"": [5], ""n_estimators"": [500], ""num_iterations"": [1500]}","{""acc"": 0.8214285714285714, ""auc"": 0.8214285714285714, ""fpr"": [0.0, 0.18421052631578946, 1.0], ""tpr"": [0.0, 0.8272727272727273, 1.0], ""mcc"": 0.6429596637321838, ""tnr"": 0.8157894736842105, ""ppv"": 0.8125, ""f_score"": 0.8198198198198199, ""ap"": 0.7569805194805195, ""brier"": 0.17857142857142858, ""sensitivity"": 0.8272727272727273}",0
25,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.2], ""max_bin"": [256], ""max_depth"": [5], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8236607142857143, ""auc"": 0.8237070254110613, ""fpr"": [0.0, 0.18421052631578946, 1.0], ""tpr"": [0.0, 0.8318181818181818, 1.0], ""mcc"": 0.6475108459263222, ""tnr"": 0.8157894736842105, ""ppv"": 0.8133333333333334, ""f_score"": 0.8224719101123596, ""ap"": 0.7591347402597403, ""brier"": 0.17633928571428573, ""sensitivity"": 0.8318181818181818}",0
26,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.2], ""max_bin"": [256], ""max_depth"": [7], ""n_estimators"": [500], ""num_iterations"": [1500]}","{""acc"": 0.8169642857142857, ""auc"": 0.8169642857142858, ""fpr"": [0.0, 0.18859649122807018, 1.0], ""tpr"": [0.0, 0.8227272727272728, 1.0], ""mcc"": 0.6340296684025701, ""tnr"": 0.8114035087719298, ""ppv"": 0.8080357142857143, ""f_score"": 0.8153153153153153, ""ap"": 0.7518465909090909, ""brier"": 0.18303571428571427, ""sensitivity"": 0.8227272727272728}",0
27,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.2], ""max_bin"": [256], ""max_depth"": [7], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8191964285714286, ""auc"": 0.8191964285714286, ""fpr"": [0.0, 0.18640350877192982, 1.0], ""tpr"": [0.0, 0.825, 1.0], ""mcc"": 0.638494666067377, ""tnr"": 0.8135964912280702, ""ppv"": 0.8102678571428571, ""f_score"": 0.8175675675675675, ""ap"": 0.754408482142857, ""brier"": 0.18080357142857142, ""sensitivity"": 0.825}",0
28,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.2], ""max_bin"": [256], ""max_depth"": [9], ""n_estimators"": [500], ""num_iterations"": [1500]}","{""acc"": 0.8303571428571429, ""auc"": 0.8303550059832469, ""fpr"": [0.0, 0.16228070175438597, 1.0], ""tpr"": [0.0, 0.8227272727272728, 1.0], ""mcc"": 0.6605782783370384, ""tnr"": 0.8377192982456141, ""ppv"": 0.8302752293577982, ""f_score"": 0.8264840182648402, ""ap"": 0.7701436464911235, ""brier"": 0.16964285714285715, ""sensitivity"": 0.8227272727272728}",0
29,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.2], ""max_bin"": [256], ""max_depth"": [9], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8314732142857143, ""auc"": 0.8314932555414266, ""fpr"": [0.0, 0.1600877192982456, 1.0], ""tpr"": [0.0, 0.8227272727272728, 1.0], ""mcc"": 0.6628130095535322, ""tnr"": 0.8399122807017544, ""ppv"": 0.832183908045977, ""f_score"": 0.8274285714285714, ""ap"": 0.7717139685027615, ""brier"": 0.16852678571428573, ""sensitivity"": 0.8227272727272728}",0
