,dataid,protein_k,rna_k,top_ratio,training_score,tune_param,scores,acc,auc
20,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [1000], ""num_iterations"": [1000], ""num_leaves"": [500]}","{""acc"": 0.943577430972389, ""auc"": 0.9443221550515601, ""fpr"": [0.0, 0.07845934379457917, 1.0], ""tpr"": [0.0, 0.9660523763336566, 1.0], ""mcc"": 0.8881185157697281, ""tnr"": 0.9215406562054208, ""ppv"": 0.9235048678720446, ""f_score"": 0.9442995970609149, ""ap"": 0.9089607948525639, ""brier"": 0.056422569027611044, ""sensitivity"": 0.9660523763336566}",0.943577430972389,0.9443221550515601
21,0,5,5,0.99,0.9995197214384343,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [1000], ""num_iterations"": [2000], ""num_leaves"": [50]}","{""acc"": 0.9457382953181273, ""auc"": 0.9464335430896088, ""fpr"": [0.0, 0.07560627674750357, 1.0], ""tpr"": [0.0, 0.9675072744907857, 1.0], ""mcc"": 0.892383911226206, ""tnr"": 0.9243937232524965, ""ppv"": 0.9261838440111421, ""f_score"": 0.9463946869070209, ""ap"": 0.9121760411704486, ""brier"": 0.05426170468187275, ""sensitivity"": 0.9675072744907857}",0.9457382953181273,0.9464335430896088
22,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [1000], ""num_iterations"": [2000], ""num_leaves"": [200]}","{""acc"": 0.9476590636254502, ""auc"": 0.9484633324097164, ""fpr"": [0.0, 0.07513076557299096, 1.0], ""tpr"": [0.0, 0.9709020368574199, 1.0], ""mcc"": 0.8963487818891742, ""tnr"": 0.9248692344270091, ""ppv"": 0.9268518518518518, ""f_score"": 0.9483657034580767, ""ap"": 0.9142881131329565, ""brier"": 0.05234093637454982, ""sensitivity"": 0.9709020368574199}",0.9476590636254502,0.9484633324097164
23,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [1000], ""num_iterations"": [2000], ""num_leaves"": [500]}","{""acc"": 0.9440576230492197, ""auc"": 0.9448752887561295, ""fpr"": [0.0, 0.07893485496909178, 1.0], ""tpr"": [0.0, 0.9675072744907857, 1.0], ""mcc"": 0.8891613033813902, ""tnr"": 0.9210651450309082, ""ppv"": 0.923183711244794, ""f_score"": 0.9448259531139002, ""ap"": 0.9092733908945687, ""brier"": 0.05594237695078031, ""sensitivity"": 0.9675072744907857}",0.9440576230492197,0.9448752887561295
24,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.05], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000], ""num_leaves"": [50]}","{""acc"": 0.9481392557022809, ""auc"": 0.9490983477060609, ""fpr"": [0.0, 0.07655729909652877, 1.0], ""tpr"": [0.0, 0.9733268671193016, 1.0], ""mcc"": 0.897482848050151, ""tnr"": 0.9234427009034712, ""ppv"": 0.9257380073800738, ""f_score"": 0.948936170212766, ""ap"": 0.9142509566093573, ""brier"": 0.051860744297719086, ""sensitivity"": 0.9733268671193016}",0.9481392557022809,0.9490983477060609
25,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.05], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000], ""num_leaves"": [200]}","{""acc"": 0.9466986794717888, ""auc"": 0.9475387981857002, ""fpr"": [0.0, 0.07655729909652877, 1.0], ""tpr"": [0.0, 0.9704170708050437, 1.0], ""mcc"": 0.8944684767804543, ""tnr"": 0.9234427009034712, ""ppv"": 0.925531914893617, ""f_score"": 0.9474431818181818, ""ap"": 0.9127978281309841, ""brier"": 0.053301320528211286, ""sensitivity"": 0.9704170708050437}",0.9466986794717888,0.9475387981857002
26,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.05], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000], ""num_leaves"": [500]}","{""acc"": 0.9478991596638655, ""auc"": 0.9487599778861915, ""fpr"": [0.0, 0.07560627674750357, 1.0], ""tpr"": [0.0, 0.9718719689621726, 1.0], ""mcc"": 0.8968926047397279, ""tnr"": 0.9243937232524965, ""ppv"": 0.926490984743412, ""f_score"": 0.9486390532544379, ""ap"": 0.9143561877963733, ""brier"": 0.052100840336134456, ""sensitivity"": 0.9718719689621726}",0.9478991596638655,0.9487599778861915
27,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.05], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [50]}","{""acc"": 0.9474189675870348, ""auc"": 0.9484380132567208, ""fpr"": [0.0, 0.07798383262006657, 1.0], ""tpr"": [0.0, 0.9733268671193016, 1.0], ""mcc"": 0.8961092026913692, ""tnr"": 0.9220161673799334, ""ppv"": 0.924458774758176, ""f_score"": 0.9482636428065201, ""ap"": 0.9130058451291686, ""brier"": 0.05258103241296518, ""sensitivity"": 0.9733268671193016}",0.9474189675870348,0.9484380132567208
28,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.05], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [200]}","{""acc"": 0.9466986794717888, ""auc"": 0.9475387981857002, ""fpr"": [0.0, 0.07655729909652877, 1.0], ""tpr"": [0.0, 0.9704170708050437, 1.0], ""mcc"": 0.8944684767804543, ""tnr"": 0.9234427009034712, ""ppv"": 0.925531914893617, ""f_score"": 0.9474431818181818, ""ap"": 0.9127978281309841, ""brier"": 0.053301320528211286, ""sensitivity"": 0.9704170708050437}",0.9466986794717888,0.9475387981857002
29,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.05], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [500]}","{""acc"": 0.9466986794717888, ""auc"": 0.9475387981857002, ""fpr"": [0.0, 0.07655729909652877, 1.0], ""tpr"": [0.0, 0.9704170708050437, 1.0], ""mcc"": 0.8944684767804543, ""tnr"": 0.9234427009034712, ""ppv"": 0.925531914893617, ""f_score"": 0.9474431818181818, ""ap"": 0.9127978281309841, ""brier"": 0.053301320528211286, ""sensitivity"": 0.9704170708050437}",0.9466986794717888,0.9475387981857002
30,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.05], ""max_bin"": [256], ""n_estimators"": [1000], ""num_iterations"": [1000], ""num_leaves"": [50]}","{""acc"": 0.9481392557022809, ""auc"": 0.9490983477060609, ""fpr"": [0.0, 0.07655729909652877, 1.0], ""tpr"": [0.0, 0.9733268671193016, 1.0], ""mcc"": 0.897482848050151, ""tnr"": 0.9234427009034712, ""ppv"": 0.9257380073800738, ""f_score"": 0.948936170212766, ""ap"": 0.9142509566093573, ""brier"": 0.051860744297719086, ""sensitivity"": 0.9733268671193016}",0.9481392557022809,0.9490983477060609
31,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.05], ""max_bin"": [256], ""n_estimators"": [1000], ""num_iterations"": [1000], ""num_leaves"": [200]}","{""acc"": 0.9466986794717888, ""auc"": 0.9475387981857002, ""fpr"": [0.0, 0.07655729909652877, 1.0], ""tpr"": [0.0, 0.9704170708050437, 1.0], ""mcc"": 0.8944684767804543, ""tnr"": 0.9234427009034712, ""ppv"": 0.925531914893617, ""f_score"": 0.9474431818181818, ""ap"": 0.9127978281309841, ""brier"": 0.053301320528211286, ""sensitivity"": 0.9704170708050437}",0.9466986794717888,0.9475387981857002
32,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.05], ""max_bin"": [256], ""n_estimators"": [1000], ""num_iterations"": [1000], ""num_leaves"": [500]}","{""acc"": 0.9478991596638655, ""auc"": 0.9487599778861915, ""fpr"": [0.0, 0.07560627674750357, 1.0], ""tpr"": [0.0, 0.9718719689621726, 1.0], ""mcc"": 0.8968926047397279, ""tnr"": 0.9243937232524965, ""ppv"": 0.926490984743412, ""f_score"": 0.9486390532544379, ""ap"": 0.9143561877963733, ""brier"": 0.052100840336134456, ""sensitivity"": 0.9718719689621726}",0.9478991596638655,0.9487599778861915
33,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.05], ""max_bin"": [256], ""n_estimators"": [1000], ""num_iterations"": [2000], ""num_leaves"": [50]}","{""acc"": 0.9474189675870348, ""auc"": 0.9484380132567208, ""fpr"": [0.0, 0.07798383262006657, 1.0], ""tpr"": [0.0, 0.9733268671193016, 1.0], ""mcc"": 0.8961092026913692, ""tnr"": 0.9220161673799334, ""ppv"": 0.924458774758176, ""f_score"": 0.9482636428065201, ""ap"": 0.9130058451291686, ""brier"": 0.05258103241296518, ""sensitivity"": 0.9733268671193016}",0.9474189675870348,0.9484380132567208
