,DATAID,test_score,train_score,RNA_K,PROTEIN_K,TOP_RATIO
24,0,"{'acc': 0.9498199279711885, 'auc': 0.9507996931353605, 'fpr': array([0.        , 0.07222492, 1.        ]), 'tpr': array([0.        , 0.97145576, 1.        ]), 'mcc': 0.9004143349519943, 'tnr': 0.9277750848279205, 'ppv': 0.9319945230488361, 'f_score': 0.9513160959701841, 'ap': 0.919797206674914, 'brier': 0.05018007202881152, 'sensitivity': 0.9714557564224549}",1.0,4,3,0.99
25,0,"{'acc': 0.9469387755102041, 'auc': 0.947804678119516, 'fpr': array([0.        , 0.07725118, 1.        ]), 'tpr': array([0.        , 0.97177616, 1.        ]), 'mcc': 0.8950669993429733, 'tnr': 0.9227488151658768, 'ppv': 0.924537037037037, 'f_score': 0.9475682087781733, 'ap': 0.9123686178986329, 'brier': 0.053061224489795916, 'sensitivity': 0.9717761557177615}",1.0,4,4,0.93
26,0,"{'acc': 0.9507803121248499, 'auc': 0.9516220135126578, 'fpr': array([0.       , 0.0696999, 1.       ]), 'tpr': array([0.        , 0.97093854, 1.        ]), 'mcc': 0.902240775831259, 'tnr': 0.9303000968054211, 'ppv': 0.9340054995417049, 'f_score': 0.9521139920579303, 'ap': 0.9215077964405238, 'brier': 0.04921968787515006, 'sensitivity': 0.9709385421629347}",1.0,4,4,0.9450000000000001
27,0,"{'acc': 0.9500600240096039, 'auc': 0.9513345746690736, 'fpr': array([0.        , 0.07640557, 1.        ]), 'tpr': array([0.        , 0.97648752, 1.        ]), 'mcc': 0.9013746212949998, 'tnr': 0.9235944257568477, 'ppv': 0.9275296262534184, 'f_score': 0.9513791491351098, 'ap': 0.9174858140520777, 'brier': 0.04993997599039616, 'sensitivity': 0.9764875239923224}",1.0,4,4,0.96
28,0,"{'acc': 0.9486194477791117, 'auc': 0.9495278184598572, 'fpr': array([0.        , 0.07590133, 1.        ]), 'tpr': array([0.        , 0.97374818, 1.        ]), 'mcc': 0.8984510395116098, 'tnr': 0.9240986717267552, 'ppv': 0.9260286638927415, 'f_score': 0.9492890995260663, 'ap': 0.9146839093496661, 'brier': 0.05138055222088835, 'sensitivity': 0.9737481769567331}",1.0,4,4,0.975
29,0,"{'acc': 0.9457382953181273, 'auc': 0.9466246357109303, 'fpr': array([0.        , 0.07769304, 1.        ]), 'tpr': array([0.        , 0.96952104, 1.        ]), 'mcc': 0.8925383548104772, 'tnr': 0.9223069590085796, 'ppv': 0.9247808029533918, 'f_score': 0.9466225791213981, 'ap': 0.9117205008887685, 'brier': 0.05426170468187275, 'sensitivity': 0.969521044992743}",1.0,4,4,0.99
30,0,"{'acc': 0.9546218487394958, 'auc': 0.9555911472155126, 'fpr': array([0.        , 0.07030879, 1.        ]), 'tpr': array([0.        , 0.98009709, 1.        ]), 'mcc': 0.9104850298214241, 'tnr': 0.9296912114014252, 'ppv': 0.9317028149515459, 'f_score': 0.9552874378992193, 'ap': 0.9230031528115209, 'brier': 0.0453781512605042, 'sensitivity': 0.9800970873786408}",1.0,4,5,0.93
31,0,"{'acc': 0.9471788715486195, 'auc': 0.9486113484063254, 'fpr': array([0.        , 0.07965032, 1.        ]), 'tpr': array([0.        , 0.97340931, 1.        ]), 'mcc': 0.895489169256274, 'tnr': 0.9203496843127732, 'ppv': 0.9259259259259259, 'f_score': 0.9490740740740741, 'ap': 0.9147502918018532, 'brier': 0.05282112845138055, 'sensitivity': 0.97340930674264}",1.0,4,5,0.9450000000000001
32,0,"{'acc': 0.9452581032412966, 'auc': 0.9462623951182303, 'fpr': array([0.        , 0.07803468, 1.        ]), 'tpr': array([0.        , 0.96840594, 1.        ]), 'mcc': 0.8914473716977425, 'tnr': 0.9219653179190751, 'ppv': 0.925858123569794, 'f_score': 0.9466541881141788, 'ap': 0.9124528411594895, 'brier': 0.05474189675870348, 'sensitivity': 0.9684059358544759}",1.0,4,5,0.96
33,0,"{'acc': 0.943577430972389, 'auc': 0.9445451394905563, 'fpr': array([0.        , 0.08034433, 1.        ]), 'tpr': array([0.        , 0.96769527, 1.        ]), 'mcc': 0.8882201847265849, 'tnr': 0.9196556671449068, 'ppv': 0.9227586206896552, 'f_score': 0.9446928689103319, 'ap': 0.909035591625005, 'brier': 0.056422569027611044, 'sensitivity': 0.967695274831244}",1.0,4,5,0.975
