,dataid,cv,training_score,tune_param,acc,auc
38,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0.1], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [300]}",0.8736730360934183,0.8743128184689104
39,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0.1], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [500]}",0.8736730360934183,0.8743128184689104
40,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0.1], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [100]}",0.8757961783439491,0.8761511411852171
41,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0.1], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [200]}",0.8768577494692145,0.8772649572649572
42,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0.1], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [300]}",0.8768577494692145,0.8772649572649572
43,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0.1], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [500]}",0.8768577494692145,0.8772649572649572
44,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0.1], 'learning_rate': [0.05], 'min_data_in_leaf': [30], 'num_iterations': [1000], 'num_leaves': [100]}",0.8747346072186837,0.8753764044246078
45,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0.1], 'learning_rate': [0.05], 'min_data_in_leaf': [30], 'num_iterations': [1000], 'num_leaves': [200]}",0.8747346072186837,0.8753764044246078
46,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0.1], 'learning_rate': [0.05], 'min_data_in_leaf': [30], 'num_iterations': [1000], 'num_leaves': [300]}",0.8747346072186837,0.8753764044246078
47,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0.1], 'learning_rate': [0.05], 'min_data_in_leaf': [30], 'num_iterations': [1000], 'num_leaves': [500]}",0.8747346072186837,0.8753764044246078
48,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [100]}",0.881104033970276,0.8818269594529736
49,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [200]}",0.8768577494692145,0.8772649572649572
50,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [300]}",0.8768577494692145,0.8772649572649572
51,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [500]}",0.8768577494692145,0.8772649572649572
52,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [100]}",0.8832271762208068,0.8836422103748837
53,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [200]}",0.8757961783439491,0.8765080207562831
54,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [300]}",0.8757961783439491,0.8765080207562831
55,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [500]}",0.8757961783439491,0.8765080207562831
56,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [100]}",0.8826963906581741,0.8832558244536753
57,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [200]}",0.8805732484076433,0.8809587742852629
58,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [300]}",0.8805732484076433,0.8809587742852629
59,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [500]}",0.8805732484076433,0.8809587742852629
60,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [30], 'num_iterations': [1000], 'num_leaves': [100]}",0.8763269639065817,0.8772252728628567
61,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [30], 'num_iterations': [1000], 'num_leaves': [200]}",0.8821656050955414,0.8830396936129831
62,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [30], 'num_iterations': [1000], 'num_leaves': [300]}",0.8821656050955414,0.8830396936129831
63,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [30], 'num_iterations': [1000], 'num_leaves': [500]}",0.8821656050955414,0.8830396936129831
64,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [100]}",0.8805732484076433,0.8811292216001444
65,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [200]}",0.8752653927813163,0.8760113752896905
66,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [300]}",0.8752653927813163,0.8760113752896905
67,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [500]}",0.8752653927813163,0.8760113752896905
68,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [100]}",0.881104033970276,0.8816302575070966
69,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [200]}",0.8763269639065817,0.8769390040688039
70,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [300]}",0.8763269639065817,0.8769390040688039
71,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [500]}",0.8763269639065817,0.8769390040688039
72,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [100]}",0.881104033970276,0.8814165001923244
73,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [200]}",0.8779193205944799,0.8783278327832784
74,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [300]}",0.8779193205944799,0.8783278327832784
