iter	Passed	Remaining
759	38249	12078
760	38307	12031
761	38364	11982
762	38419	11933
763	38469	11883
764	38521	11833
765	38577	11784
766	38641	11738
767	38700	11690
768	38762	11643
769	38815	11594
770	38865	11543
771	38917	11493
772	38982	11447
773	39042	11399
774	39099	11351
775	39153	11302
776	39211	11253
777	39264	11204
778	39327	11157
779	39388	11109
780	39449	11062
781	39513	11015
782	39566	10965
783	39634	10919
784	39697	10872
785	39755	10823
786	39822	10777
787	39886	10730
788	39951	10683
789	40007	10634
790	40063	10585
791	40124	10537
792	40174	10486
793	40228	10437
794	40280	10386
795	40339	10338
796	40394	10288
797	40446	10238
798	40500	10188
799	40557	10139
800	40610	10089
801	40665	10039
802	40722	9990
803	40774	9940
804	40830	9890
805	40890	9842
806	40943	9791
807	40998	9742
808	41057	9693
809	41121	9645
810	41171	9594
811	41226	9544
812	41287	9496
813	41342	9446
814	41392	9395
815	41443	9345
816	41493	9294
817	41549	9244
818	41605	9194
819	41662	9145
820	41717	9095
821	41772	9045
822	41829	8996
823	41885	8946
824	41936	8895
825	41984	8844
826	42038	8793
827	42091	8743
828	42140	8692
829	42201	8643
830	42255	8593
831	42318	8545
832	42375	8495
833	42429	8445
834	42480	8394
835	42532	8343
836	42585	8293
837	42637	8242
838	42688	8191
839	42740	8141
840	42821	8095
841	42887	8047
842	42940	7997
843	42996	7947
844	43053	7897
845	43110	7847
846	43172	7798
847	43225	7748
848	43277	7697
849	43341	7648
850	43403	7599
851	43459	7549
852	43520	7499
853	43575	7449
854	43632	7399
855	43682	7348
856	43740	7298
857	43794	7248
858	43857	7198
859	43909	7148
860	43967	7098
861	44016	7046
862	44073	6996
863	44127	6945
864	44181	6895
865	44233	6844
866	44285	6793
867	44343	6743
868	44399	6693
869	44450	6642
870	44504	6591
871	44567	6542
872	44626	6492
873	44682	6441
874	44736	6390
875	44786	6339
876	44844	6289
877	44896	6238
878	44949	6187
879	45002	6136
880	45053	6085
881	45105	6034
882	45165	5984
883	45219	5933
884	45271	5882
885	45328	5832
886	45381	5781
887	45436	5730
888	45488	5679
889	45545	5629
890	45603	5578
891	45655	5527
892	45712	5477
893	45771	5427
894	45835	5377
895	45891	5326
896	45939	5275
897	45992	5224
898	46048	5173
899	46103	5122
900	46153	5071
901	46207	5020
902	46261	4969
903	46319	4918
904	46376	4868
905	46427	4816
906	46476	4765
907	46523	4713
908	46578	4662
909	46630	4611
910	46684	4560
911	46737	4509
912	46794	4459
913	46849	4408
914	46919	4358
915	46980	4308
916	47037	4257
917	47092	4206
918	47144	4155
919	47196	4104
920	47251	4053
921	47314	4002
922	47379	3952
923	47438	3901
924	47500	3851
925	47560	3800
926	47617	3749
927	47675	3698
928	47727	3647
929	47786	3596
930	47847	3546
931	47896	3494
932	47950	3443
933	48008	3392
934	48073	3341
935	48161	3293
936	48225	3242
937	48284	3191
938	48344	3140
939	48400	3089
940	48457	3038
941	48509	2986
942	48565	2935
943	48623	2884
944	48677	2833
945	48730	2781
946	48781	2730
947	48841	2679
948	48897	2627
949	48947	2576
950	48995	2524
951	49046	2472
952	49099	2421
953	49159	2370
954	49207	2318
955	49259	2267
956	49324	2216
957	49385	2165
958	49442	2113
959	49498	2062
960	49556	2011
961	49612	1959
